"ï»¿""taxon""",parent,count,count_norm,avg,tax_name,tax_rank,tax_color
28056,85008,2,17,null,Micromonosporaceae,family,null
720554,288965,2,17,null,Clostridium clariflavum DSM 19732,no_rank,null
288965,1485,2,17,null,Clostridium clariflavum,species,null
1176165,576927,2,17,null,Brevibacterium massiliense 5401308,no_rank,null
361101,1301,2,17,null,Streptococcus pseudoporcinus,species,null
875093,361101,2,17,null,Streptococcus pseudoporcinus LQ 940-04,no_rank,null
41297,204457,2,17,null,Sphingomonadaceae,family,null
167375,1118,2,17,null,Cyanobium,genus,null
100132,186803,2,17,null,Sporobacterium,genus,null
265975,186803,2,17,null,Oribacterium,genus,null
871968,142877,2,17,null,Desulfitobacterium metallireducens DSM 15288,no_rank,null
142877,36853,2,17,null,Desulfitobacterium metallireducens,species,null
36853,186807,2,17,null,Desulfitobacterium,genus,null
209,72293,2,17,null,Helicobacter,genus,null
187327,904,2,17,null,Acidaminococcus intestini,species,null
591001,905,2,17,null,Acidaminococcus fermentans DSM 20731,no_rank,null
84566,200666,2,17,null,Sphingobacteriaceae,family,null
84567,84566,2,17,null,Pedobacter,genus,null
57493,1268,2,17,null,Kocuria,genus,null
568386,135614,2,17,null,Sinobacteraceae,family,null
249529,186814,2,17,null,Caldanaerobacter,genus,null
911092,249529,2,17,null,Caldanaerobacter subterraneus,species,null
1034836,1390,2,17,null,Bacillus amyloliquefaciens XH7,no_rank,null
